timestamp,cycle,macro,capital,equity,pnl,open_pos,longs,shorts,win_rate,profit_factor,sharpe,expectancy,max_dd,cur_dd,total_trades,wins,losses,symbols,last_sig
2026-04-02T20:16:47.000Z,8363,BEAR,958635.51,958848.00,108472.62,13,1,12,50.0,2.830,0.310,0.029,1.20,0.90,123,61,62,BLAST:S|APE:S|KAITO:S|JTO:S|NIL:S|PEOPLE:S|BLUR:S|FOGO:S|BTC:L|SUSHI:S|HEMI:S|LIT:S|S:S, HEMI SHORT
2026-04-02T20:33:20.418Z,8395,BEAR,282236.72,956435.17,90623.14,13,1,12,48.8,2.723,0.297,2.807,73.93,17.33,125,61,64,BLAST:S|APE:S|JTO:S|NIL:S|PEOPLE:S|BLUR:S|BTC:L|SUSHI:S|HEMI:S|S:S|LIT:S|AXS:S|KAITO:S,WCT BUY
2026-04-02T20:54:43.285Z,8426,BEAR,279473.59,959323.90,89518.33,13,1,12,48.4,2.682,0.293,2.760,73.93,20.42,126,61,65,BLAST:S|APE:S|JTO:S|NIL:S|PEOPLE:S|BLUR:S|BTC:L|SUSHI:S|HEMI:S|S:S|LIT:S|AXS:S|MEW:S,ENS SKIP
2026-04-02T21:13:40.391Z,8456,BEAR,279473.59,942452.95,123625.14,13,1,12,49.0,2.730,0.300,0.028,2.80,2.80,128,63,65,BLAST:S|PEOPLE:S|Bitcoin:L|SushiSwap:S|HEMI:S|Sonic:S|LIT:S,13 HOLD
2026-04-02T21:34:38.146Z,8491,BEAR,326873.19,936270.52,96147.00,13,1,12,50.0,2.842,0.314,2.928,73.93,0.00,130,65,65,BLAST:S|APE:S|JTO:S|NIL:S|PEOPLE:S|BLUR:S|BTC:L|SUSHI:S|HEMI:S|S:S|LIT:S|AXS:S|MEW:S,VVV BUY
2026-04-02T22:12:53.441Z,8549,BEAR,262109.68,934439.23,121382.36,13,1,12,50.0,2.780,0.310,0.029,3.60,3.60,131,65,66,BLAST:S|APE:S|JTO:S|NIL:S|PEOPLE:S|BLUR:S|BTC:L|SUSHI:S|HEMI:S|S:S|LIT:S|MEW:S|AIXBT:S,SKY SHORT
2026-04-03T01:17:13Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,CHROME_UNAVAILABLE
2026-04-03T01:19:50Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR - Chrome not connected
2026-04-03T02:19:59Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T08:02:28Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T08:23:23.000Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T08:42:27Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T09:02:28Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T09:22:29.000Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T09:42:21.000Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T10:02:23Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,chrome_disconnected
2026-04-05T10:22:28Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T10:42:24Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,CHROME_UNAVAILABLE
2026-04-05T11:02:23Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T11:22:28Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T11:42:25Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T12:02:37Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-05T12:22:40Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
